path	type	extension	tracked	logical_area	likely_role	test_or_prod	notes
.env.example	file	.example	yes	configuration	environment template	configuration	example environment variables
.github/workflows/ci.yml	file	.yml	yes	ci	workflow	tooling	CI workflow
.gitignore	file	.gitignore	yes	repository metadata	ignore rules	metadata	untracked/generated exclusions
LICENSE	file		yes	metadata	legal/notice	metadata	license or attribution
README.md	file	.md	yes	documentation	repository overview	documentation	entry documentation
THIRD_PARTY_NOTICES.md	file	.md	yes	metadata	legal/notice	metadata	license or attribution
benchmarks/gemini-observatory-v1.json	file	.json	yes	benchmark	benchmark manifest	data	measured benchmark input
configs/models.codex.example.json	file	.json	yes	configuration	model configuration example	configuration	provider/model routing input
configs/models.gemini.example.json	file	.json	yes	configuration	model configuration example	configuration	provider/model routing input
configs/models.mock.json	file	.json	yes	configuration	model configuration example	configuration	provider/model routing input
configs/models.openai.example.json	file	.json	yes	configuration	model configuration example	configuration	provider/model routing input
docs/ADR-0001-project-layer.md	file	.md	yes	documentation	architecture/design/report	documentation	repository documentation
docs/ARCHITECTURE.md	file	.md	yes	documentation	architecture/design/report	documentation	repository documentation
docs/reconciliation/LOCAL_REMOTE_CAPABILITY_RECONCILIATION.md	file	.md	yes	documentation	architecture/design/report	documentation	repository documentation
docs/v3_2_migration/ARCHITECTURE_CRITIC_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/ARCHITECTURE_DEVIATIONS.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/ARCHITECTURE_REVIEW_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/ATTEMPT_LEASE_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/CANONICAL_ARTIFACT_AUTHORITY_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/CHECKPOINT_MIGRATION_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/CLAIM_SNAPSHOT_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/EXACTLY_ONCE_EFFECT_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/INTERRUPTION_RUNTIME_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/PATCH_AUTHORIZATION_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/PHASE3_TRUTH_PATH_AUDIT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/PHASE4_RESEARCH_PATH_AUDIT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/PHASE5_GOVERNANCE_PATH_AUDIT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/PHASE6_RUNTIME_PATH_AUDIT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/PROVIDER_PRESERVATION_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/RECONCILIATION_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/REGRESSION_EVIDENCE.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/RESEARCH_MAP_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/RESEARCH_OBLIGATION_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/ROUTE_FAILURE_MIGRATION_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/SESSION_CLOSURE_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/SQLITE_CONTROL_PLANE_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/STRUCTURAL_EFFECT_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/STRUCTURAL_PROBE_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/TRANSACTIONAL_OUTBOX_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/TRANSITION_JOURNAL_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/TRUTH_IDENTITY_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/TRUTH_MUTATION_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/V3_2_ARCHITECTURE_DECISIONS.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/V3_2_IMPLEMENTATION_MATRIX.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/V3_2_MIGRATION_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/final_debug_handoff/COMMITS_AND_DIFF.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/final_debug_handoff/CURRENT_STATE.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/final_debug_handoff/DEBUG_REPRODUCERS.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/final_debug_handoff/DEFERRED_NONBLOCKING_OBSERVATIONS.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/final_debug_handoff/FINAL_CANDIDATE_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/final_debug_handoff/FRIEND_NEXT_STEPS.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/final_debug_handoff/OPEN_FINDINGS.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/final_debug_handoff/PHASE_7_IMPLEMENTATION_REPORT.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/final_debug_handoff/PHASE_7_SCOPE_LEDGER.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/final_debug_handoff/README.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
docs/v3_2_migration/final_debug_handoff/TEST_AND_VALIDATION_MATRIX.md	file	.md	yes	historical migration	migration audit or handoff	documentation	historical evidence; not normative by default
