id	category	spec_section	normative_requirement	production_symbol	independent_evidence	status	severity	next_action
NC-001	COVERAGE	§5.2	CampaignScopeManifest must durably bind required/excluded scope to root snapshot	campaign.CampaignStore; no CampaignScopeManifest symbol	r02_coverage_verifier_inventory.py; missing exact symbol/fields	CONFIRMED_NONCOMPLIANT	P0	Design durable campaign scope contract and migration/validation gates
NC-002	COVERAGE	§5.3–§5.4	CoverageAnchorDefinition and CoverageDisposition must represent root-relevant anchors and current states	research_map.ResearchMap; research_obligation.ObligationDisposition	r02_coverage_verifier_inventory.py; missing coverage fields/objects	CONFIRMED_NONCOMPLIANT	P0	Add immutable anchor/disposition objects and exact-map references
NC-003	COVERAGE	§5.5–§5.7	CoverageTransfer graph and coverage_resolution_manifest must prove no scope loss or transfer cycle	architecture_patch.ScopeTransfer; phase7.RootSynthesis	r02_coverage_verifier_inventory.py; C1–C8 not representable	CONFIRMED_NONCOMPLIANT	P0	Add source-explicit acyclic transfer graph and root resolution manifest
NC-004	OBLIGATION	§7	ObligationSpec/Disposition/ControlState must be separate and root-aware	research_obligation.ResearchObligation; ObligationDisposition; scheduler.RoleScheduler	AST field inventory; no exact ObligationControlState; current states/fields differ	CONFIRMED_NONCOMPLIANT	P0	Separate semantic revision, disposition, and control projections with effective map identity
NC-005	DECISION	§8	DecisionBasis and reverse invalidation must revalidate dependent decisions/maps/anchors	governance.GovernanceController; trust_kernel.DependencyAuthorityResolver	Static production inventory; no generic DecisionBasis/reverse index	CONFIRMED_NONCOMPLIANT	P0	Build durable decision basis and reverse invalidation index
NC-006	TRUST	§22	ResultTrustKernel and TrustReceipt must be the sole promotion-eligibility facade	trust_kernel.TrustKernel; research_evidence.SessionClosure	r02_coverage_verifier_inventory.py; exact terms absent	CONFIRMED_NONCOMPLIANT	P0	Define durable result trust/check split and receipt linkage
NC-007	TRUST_POLICY	§23.1	TrustPolicyRef must contain machine-compatible schema/check/config identity	claim_snapshot.ClaimSnapshot; truth_identity.trust_policy_fingerprint	Static inventory; only a single fingerprint is present	CONFIRMED_NONCOMPLIANT	P0	Introduce structured TrustPolicyRef and compatibility validator
NC-008	VERIFIER	§23.3	Mathematical verifier independence must be durably recorded and fail closed	architecture_critic.ArchitectureCriticIndependenceReceipt	r02_coverage_verifier_inventory.py; V1–V10 no durable contract	CONFIRMED_NONCOMPLIANT	P0	Create mathematical VerifierIndependenceReceipt and link all gates
NC-009	TRUTH_BINDING	§21.3–§21.7	ProjectStore must atomically write and reconcile v3_truth_binding	truth_store.TruthStoreFacade; project.ProjectStore.compare_and_transition	r02_coverage_verifier_inventory.py; zero v3_truth_binding hits; truth diff	MISSING / CONFIRMED_NONCOMPLIANT	P0	Add marker to theorem replace and audit crash/recovery boundaries
NC-010	ROOT_AUTHORITY	§27.1–§27.2	RootSynthesisManifest must independently establish scope/coverage/authority/applicability/trust boundary	phase7.RootSynthesis; Phase7Store.synthesize_root	ROOT_SYNTHESIS_NORMATIVE_DIFF.md; exact fields absent	CONFIRMED_NONCOMPLIANT	P0	Replace/extend root artifact with exact manifest and gate inputs
NC-011	ROOT_PROVENANCE	§27.3	SynthesisPromptPackage must bind source_manifest_hash and projection provenance	orchestrator context/candidate writers; phase7 root path	ROOT_SYNTHESIS_NORMATIVE_DIFF.md; exact package/hash absent	CONFIRMED_NONCOMPLIANT	P0	Add source manifest package and Final Audit linkage
NC-012	AUDIT_IDENTITY	§4, §27–§28	Provider-returned audit identity must be equality-checked, not overwritten	audit_coordinator.AuditCoordinator.run_audits	r02_audit_identity_probe.py A2–A7; local assignment overwrites foreign values	REPRODUCED_DEFECT	P0	Reject mismatch/omission and persist provider/parsed/normalized identity provenance
