entry_point	caller	callee	binding_kind	required_dimensions	validator	validator_order	provider_can_be_called_before_validation	result_can_be_recorded_before_validation	semantic_effect_possible	status	evidence
RoutedLLMClient.call	RoutedLLMClient._execute_route	provider client factory/call	COMPLETE_CURRENT	root+map(id/version/hash)+obligation+directive+session	ResearchOrchestrator._validate_execution_binding	first; before client factory, provider, runtime job	NO	NO	YES	ACCEPTED_CURRENT; NO_DEFECT_REPRODUCED	Pass B r01 probe: provider_call_count=1, accepted_result_count=1, semantic/truth/research mutation=0
RoutedLLMClient.call	RoutedLLMClient._execute_route	provider client factory/call	MISSING_MAP	root+current map tuple+obligation+directive+session	ResearchOrchestrator._validate_execution_binding	first	NO	NO	NO	REJECTED_BEFORE_PROVIDER	Pass B r01 probe: RuntimeConflict STALE_RESEARCH_MAP; all oracle counts=0
RoutedLLMClient.call	RoutedLLMClient._execute_route	provider client factory/call	MISSING_OBLIGATION	root+map+current obligation+directive+session	ResearchOrchestrator._validate_execution_binding	first	NO	NO	NO	REJECTED_BEFORE_PROVIDER	Pass B r01 probe: STALE_EXECUTION_BINDING obligation missing; all oracle counts=0
RoutedLLMClient.call	RoutedLLMClient._execute_route	provider client factory/call	MISSING_DIRECTIVE	root+map+obligation+current directive+session	ResearchOrchestrator._validate_execution_binding	first	NO	NO	NO	REJECTED_BEFORE_PROVIDER	Pass B r01 probe: STALE_EXECUTION_BINDING directive missing; all oracle counts=0
RoutedLLMClient.call	RoutedLLMClient._execute_route	provider client factory/call	MISSING_SESSION	root+map+obligation+directive+current session	ResearchOrchestrator._validate_execution_binding	first	NO	NO	NO	REJECTED_BEFORE_PROVIDER	Pass B r01 probe: STALE_EXECUTION_BINDING session missing; all oracle counts=0
RoutedLLMClient.call	RoutedLLMClient._execute_route	provider client factory/call	STALE_MAP	root+map id/version/hash+obligation+directive+session	ResearchOrchestrator._validate_execution_binding	first	NO	NO	NO	REJECTED_BEFORE_PROVIDER	Pass B r01 probe: STALE_RESEARCH_MAP exact identity mismatch; all oracle counts=0
RoutedLLMClient.call	RoutedLLMClient._execute_route	provider client factory/call	STALE_SESSION	root+map+obligation+directive+stale session	ResearchOrchestrator._validate_execution_binding	first	NO	NO	NO	REJECTED_BEFORE_PROVIDER	Pass B r01 probe: STALE_EXECUTION_BINDING session not current; all oracle counts=0
RoutedLLMClient.call	RoutedLLMClient._execute_route	provider client factory/call	WRONG_ROOT	root claim snapshot hash wrong+map+obligation+directive+session	ResearchOrchestrator._validate_execution_binding	first	NO	NO	NO	REJECTED_BEFORE_PROVIDER	Pass B r01 probe: STALE_CLAIM_SNAPSHOT; all oracle counts=0
RoutedLLMClient.call	RoutedLLMClient._execute_route	provider client factory/call	WRONG_THEOREM	root claim snapshot hash used as theorem identity surrogate+map+obligation+directive+session	ResearchOrchestrator._validate_execution_binding	first	NO	NO	NO	REJECTED_BEFORE_PROVIDER; theorem_id_not_separate	Pass B r01 probe: wrong root ClaimSnapshot surrogate rejected; binding schema has no separate theorem_id dimension
RoutedLLMClient.call	RoutedLLMClient._execute_route	provider client factory/call	ROOT_ONLY_ON_NORMAL_PATH	root only; no map/obligation/directive/session	ResearchOrchestrator._validate_execution_binding	first	NO	NO	NO	REJECTED_BEFORE_PROVIDER	Pass B r01 probe: current normal path requires map; all oracle counts=0
RoutedLLMClient.call	RoutedLLMClient._execute_route	provider client factory/call	MAP_ONLY_ON_NORMAL_PATH	root+map only; no obligation/directive/session	ResearchOrchestrator._validate_execution_binding	first	NO	NO	NO	REJECTED_BEFORE_PROVIDER	Pass B r01 probe: current normal path requires obligation; all oracle counts=0
RoutedLLMClient.call	RoutedLLMClient._execute_route	provider client factory/call	CROSS_SESSION	root+current map+obligation+directive+other session	ResearchOrchestrator._validate_execution_binding	first	NO	NO	NO	REJECTED_BEFORE_PROVIDER	Pass B r01 probe: session not current; all oracle counts=0
RoutedLLMClient.call	RoutedLLMClient._execute_route	provider client factory/call	CROSS_MAP	root+other map id/hash+obligation+directive+session	ResearchOrchestrator._validate_execution_binding	first	NO	NO	NO	REJECTED_BEFORE_PROVIDER	Pass B r01 probe: exact map identity mismatch; all oracle counts=0
RoutedLLMClient.call	RoutedLLMClient._execute_route	provider client factory/call	NO_BACKEND_UNBOUND	no binding; router requires binding	require_execution_binding guard	before validator callback; before provider branch	NO	NO	NO	REJECTED_BEFORE_PROVIDER	Pass B r01 probe: RuntimeConflict standalone semantic routing requires trusted binding; all oracle counts=0
